author	title	cover	nrOfHighlights	highlight
 by Thomas Bartscherer, Roderick Coover	Switching Codes: Thinking Through Digital Technology in the Humanities and the Arts	https://kindle.amazon.com/work/switching-codes-technology-humanities-ebook/B0043XTK7E/B005LB8F0K	4	How much of information processing can be automated, and what is gained or lost in that automation?
 by Thomas Bartscherer, Roderick Coover	Switching Codes: Thinking Through Digital Technology in the Humanities and the Arts	https://kindle.amazon.com/work/switching-codes-technology-humanities-ebook/B0043XTK7E/B005LB8F0K	3	In ways that Snow could hardly have anticipated, the culture of arts and letters is now permeated by science in the form of information technology, from word processing and semantically structured research networks to computer-generated imagery, interactive cinema, and creative machines.
