title,Author,ASIN,Eigenvector Centrality,In-Degree,Out-Degree,Degree
How We Think: Digital Media and Contemporary Technogenesis,N. Katherine Hayles,0226321428,0.0,17,10,27
Debates in the Digital Humanities,Matthew K. Gold (ed),0816677956,1.0,12,10,22
The Interface Effect,Alexander R. Galloway,0745662536,0.16467846578486384,5,6,11
Digital_Humanities,"Anne Burdick, Johanna Drucker, Peter Lunenfeld, Todd Presner, Jeffrey Schnapp",0262018470,0.9105414928699089,13,10,23
Understanding Digital Humanities,David M. Berry (ed),0230292658,0.9700538416277751,11,10,21
"Alien Phenomenology, or What It&quot;s Like to Be a Thing (Posthumanities)",Ian Bogost,0816678987,0.30704382590295937,6,3,9
Book Was There: Reading in Electronic Times,Andrew Piper,0226669785,0.13890854445167194,2,1,3
Digital Memory and the Archive (Electronic Mediations),Wolfgang Ernst,0816677670,0.031239411952383896,3,7,10
"How We Became Posthuman: Virtual Bodies in Cybernetics, Literature, and Informatics",N. Katherine Hayles,0226321460,0.03453437986844659,2,4,6
What is Media Archaeology,Jussi Parikka,0745650260,0.007869963481635057,2,6,8
Switching Codes: Thinking Through Digital Technology in the Humanities and the Arts,"Thomas Bartscherer,Roderick Coover (eds)",0226038319,0.504878337795877,5,8,13
Reading Machines: Toward an Algorithmic Criticism (Topics in the Digital Humanities),Stephen Ramsay,0252078209,0.9700538416277751,10,10,20
"Graphs, Maps, Trees: Abstract Models for Literary History",Franco Moretti,1844671852,0.9700538416277751,10,7,17
A Companion to Digital Humanities (Blackwell Companions to Literature and Culture),"Susan Schreibman,Ray Siemens,John Unsworth (eds)",1405168064,0.6266511305255261,5,9,14
"Planned Obsolescence: Publishing, Technology, and the Future of the Academy",Kathleen Fitzpatrick,0814727883,0.7042306582087101,6,8,14
Radiant Textuality: Literature after the World Wide Web,Jerome McGann,140396436X,0.6845277802632503,6,6,12
"Telesthesia: Communication, Culture & Class",McKenzie Wark,0745653995,0.0,0,0,0
"MP3: The Meaning of a Format (Sign, Storage, Transmission)",Jonathan Sterne,0822352877,0.03910937543401894,3,0,3
Coding Freedom: The Ethics and Aesthetics of Hacking,E. Gabriella Coleman,0691144613,0.048100617665244955,2,0,2
Gaming: Essays On Algorithmic Culture (Electronic Mediations),Alexander R. Galloway,0816648514,0.0,0,0,0
Speaking Code: Coding as Aesthetic and Political Expression (Software Studies),"Geoff Cox, Alex McLean",0262018365,0.05597058114687998,3,0,3
Gilbert Simondon and the Philosophy of the Transindividual (Technologies of Lived Abstraction),Muriel Combes,0262018187,0.03548674029104384,2,0,2
Digital Labor: The Internet as Playground and Factory,Trebor Scholz (ed),0415896959,0.0,0,0,0
Networks of Outrage and Hope: Social Movements in the Internet Age,Manuel Castells,0745662854,0.0,0,0,0
10 PRINT CHR$(205.5+RND(1)); : GOTO 10 (Software Studies),"Nick Montfort, Patsy Baudoin, John Bell, Ian Bogost, Jeremy Douglass, Mark C. Marino, Michael Mateas, Casey Reas, Mark Sample, Noah Vawter",0262018462,0.13270202630441758,1,6,7
Electronic Literature: New Horizons for the Literary (WARD PHILLIPS LECTUR),N. Katherine Hayles,0268030855,0.23660385083723892,2,4,6
The Democracy of Objects,Levi R. Bryant,1607852047,0.0,0,0,0
The Quadruple Object,Graham Harman,1846947006,0.0,0,0,0
Vibrant Matter: A Political Ecology of Things (a John Hope Franklin Center Book),Jane Bennett,0822346338,0.05404696225434617,2,0,2
After Finitude: An Essay on the Necessity of Contingency,Quentin Meillassoux,1441173838,0.0,0,0,0
"New Materialisms: Ontology, Agency, and Politics","Diana Coole,Samantha Frost (eds)",0822347725,0.0,0,0,0
"Vampyroteuthis Infernalis: A Treatise, with a Report by the Institut Scientifique de Recherche Paranaturaliste (Posthumanities)","Vilem Flusser, Louis Bec",0816678227,0.0,0,0,0
We Have Never Been Modern,Bruno Latour,0674948394,0.05404696225434617,2,0,2
How to Do Things with Videogames (Electronic Mediations),Ian Bogost,081667647X,0.0,0,0,0
Weird Realism: Lovecraft and Philosophy,Graham Harman,1780992521,0.0,0,0,0
The Missing Ink: The Lost Art of Handwriting,Philip Hensher,0865478937,0.0,0,0,0
Dreaming in Books: The Making of the Bibliographic Imagination in the Romantic Age,Andrew Piper,0226669726,0.0,0,0,0
The Demon of Writing: Powers and Failures of Paperwork,Ben Kafka,1935408267,0.0,0,0,0
One for the Books,Joe Queenan,0670025828,0.0,0,0,0
Monsieur Proust&quot;s Library,Anka Muhlstein,1590515668,0.0,0,0,0
Mr. Penumbra&quot;s 24-Hour Bookstore: A Novel,Robin Sloan,0374214913,0.0,0,0,0
The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,0393339750,0.0,0,0,0
"My Bookstore: Writers Celebrate Their Favorite Places to Browse, Read, and Shop",Ronald Rice (ed),1579129102,0.0,0,0,0
Paper: An Elegy,Ian Sansom,0007480261,0.0,0,0,0
Post-History (Univocal),Vilem Flusser,1937561097,0.0,0,0,0
"Our Aesthetic Categories: Zany, Cute, Interesting",Sianne Ngai,0674046587,0.0,0,0,0
Two Lessons on Animal and Man (Univocal),Gilbert Simondon,1937561011,0.0,0,0,0
What Is Posthumanism? (Posthumanities),Cary Wolfe,0816666156,0.0,0,0,0
When Species Meet (Posthumanities),Donna J. Haraway,0816650462,0.0,0,0,0
The Animal That Therefore I Am (Perspectives in Continental Philosophy),Jacques Derrida,082322791X,0.0,0,0,0
"Simians, Cyborgs, and Women: The Reinvention of Nature",Donna J. Haraway,0415903874,0.0,0,0,0
The Open: Man and Animal,Giorgio Agamben,0804747385,0.0,0,0,0
"Discourse Networks, 1800/1900","Friedrich A. Kittler, Michael Metteer",0804720991,0.0,0,0,0
"Media Arch√¶ology: Approaches, Applications, and Implications",Erkki Huhtamo (ed),0520262743,0.0,0,0,0
How Buildings Learn: What Happens After They&quot;re Built,Stewart Brand,0140139966,0.0,0,0,0
Stuff,Daniel Miller,0745644244,0.0,0,0,0
The Lives They Left Behind: Suitcases from a State Hospital Attic,"Darby Penney, Peter Stastny",1934137146,0.0,0,0,0
"Digital Art and Meaning: Reading Kinetic Poetry, Text Machines, Mapping Art, and Interactive Installations (Electronic Mediations)",Roberto Simanowski,0816667381,0.0,0,0,0
The Language of New Media (Leonardo Books),Lev Manovich,0262632551,0.10716962923831758,2,0,2
"Form+Code in Design, Art, and Architecture (Design Briefs)","Casey Reas, Chandler McWilliams",1568989377,0.0,0,0,0
Mechanisms: New Media and the Forensic Imagination,Matthew G. Kirschenbaum,026251740X,0.37807952151234697,3,8,11
"Digital History: A Guide to Gathering, Preserving, and Presenting the Past on the Web","Daniel Cohen, Roy Rosenzweig",0812219236,0.0,0,0,0
Atlas of the European Novel 1800-1900,Franco Moretti,1859842240,0.0,0,0,0
The World Republic of Letters (Convergences: Inventories of the Present),Pascale Casanova,0674010213,0.0,0,0,0
The Journey to the Western Islands Scotland and The Journal of a Tour to the Hebrides (Penguin English Library),"Samuel Johnson, James Boswell",0140432213,0.0,0,0,0
Open Access (MIT Press Essential Knowledge),Peter Suber,0262517639,0.15449969042290937,2,0,2
"Now You See It: How the Brain Science of Attention Will Transform the Way We Live, Work, and Learn",Cathy N. Davidson,0670022829,0.0,0,0,0
How to Design and Write Web Pages Today (Writing Today),Karl Stolley,0313380384,0.0,0,0,0
"A Critique of Modern Textual Criticism, Foreword by David C Greetham",Jerome J. McGann,0813914183,0.0,0,0,0
SpecLab: Digital Aesthetics and Projects in Speculative Computing,Johanna Drucker,0226165086,0.0,0,0,0
Textual Studies and the Common Reader: Essays on Editing Novels and Novelists,Alexander Pettit (ed),082032227X,0.0,0,0,0
Hypertext 3.0: Critical Theory and New Media in an Era of Globalization (Parallax: Re-visions of Culture and Society),George P. Landow,0801882575,0.0,0,0,0
"New Media Poetics: Contexts, Technotexts, and Theories (Leonardo Book Series)","Adalaide Morris,Thomas Swiss (eds)",0262513382,0.0,0,0,0
Cybertext: Perspectives on Ergodic Literature,Espen J. Aarseth,0801855799,0.0,0,0,0
Amaranth Borsuk & Brad Bouse: Between Page and Screen,"Amaranth Borsuk, Brad Bouse",0979956285,0.0,0,0,0
Writing Machines (Mediaworks Pamphlets),"N. Katherine Hayles, Anne Burdick",0262582155,0.0,0,0,0
Narrative across Media: The Languages of Storytelling (Frontiers of Narrative),Marie-Laure Ryan (ed),0803289936,0.0,0,0,0
Convergence Culture: Where Old and New Media Collide,Henry Jenkins,0814742955,0.0,0,0,0
Unoriginal Genius: Poetry by Other Means in the New Century,Marjorie Perloff,0226660621,0.0,0,0,0
How to Lie with Maps (2nd Edition),"Mark Monmonier, H. J. de Blij",0226534219,0.0,0,0,0
The Nature of Code: Simulating Natural Systems with Processing,Daniel Shiffman,0985930802,0.0,0,0,0
"Generative Design: Visualize, Program, and Create with Processing","Hartmut Bohnacker, Benedikt Gross, Julia Laub",1616890770,0.0,0,0,0
The Future Was Here: The Commodore Amiga (Platform Studies),Jimmy Maher,0262017202,0.0,0,0,0
Racing the Beam: The Atari Video Computer System (Platform Studies),"Nick Montfort, Ian Bogost",026201257X,0.0,0,0,0
"",,,0.0,0,0,0
"",,,0.0,0,0,0
Digital Humanities in Practice,Claire Warwick,1856047660,0.0,0,6,6
