title,Author,ASIN,seedNode,Modularity Class,In-Degree,Out-Degree,Degree,Eigenvector Centrality
"New Media Poetics: Contexts, Technotexts, and Theories (Leonardo Book Series)","Adalaide Morris,Thomas Swiss (eds)",0262513382,,7,4,10,14,0.10672350357067881
Amaranth Borsuk & Brad Bouse: Between Page and Screen,"Amaranth Borsuk, Brad Bouse",0979956285,,4,1,0,1,0.07967138682795878
Writing Machines (Mediaworks Pamphlets),"N. Katherine Hayles, Anne Burdick",0262582155,,4,1,0,1,0.07967138682795878
Debates in the Digital Humanities,Matthew K. Gold (ed),0816677956,,4,10,10,20,0.9644775478733776
Narrative across Media: The Languages of Storytelling (Frontiers of Narrative),Marie-Laure Ryan (ed),0803289936,,4,1,0,1,0.07967138682795878
"How We Became Posthuman: Virtual Bodies in Cybernetics, Literature, and Informatics",N. Katherine Hayles,0226321460,,4,2,0,2,0.2244805914944102
Radiant Textuality: Literature after the World Wide Web,Jerome McGann,140396436X,,4,9,10,19,0.6649934822486891
Commodore: A Company on the Edge,Brian Bagnall,0973864966,,1,1,0,1,0.008541411822169961
Atari Inc.: Business is Fun,"Mr. Curt Vendel, Mr. Marty Goldberg",0985597402,,1,1,0,1,0.008541411822169961
Supercade: A Visual History of the Videogame Age 1971-1984,Van Burnham,0262524201,,1,1,0,1,0.008541411822169961
The Ultimate History of Video Games: From Pong to Pokemon--The Story Behind the Craze That Touched Our Lives and Changed the World,Steven L. Kent,0761536434,,1,1,0,1,0.008541411822169961
Replay: The History of Video Games,Tristan Donovan,0956507204,,1,1,0,1,0.008541411822169961
Understanding Digital Humanities,David M. Berry (ed),0230292658,,4,10,10,20,0.9072630133705314
Reading Machines: Toward an Algorithmic Criticism (Topics in the Digital Humanities),Stephen Ramsay,0252078209,,4,8,10,18,0.7690354110463218
"Graphs, Maps, Trees: Abstract Models for Literary History",Franco Moretti,1844671852,,4,7,10,17,0.749087247258521
Switching Codes: Thinking Through Digital Technology in the Humanities and the Arts,"Thomas Bartscherer,Roderick Coover (eds)",0226038319,,4,6,10,16,0.6199607448522605
A Companion to Digital Humanities (Blackwell Companions to Literature and Culture),"Susan Schreibman,Ray Siemens,John Unsworth (eds)",1405168064,,4,5,10,15,0.5737877562813201
"Planned Obsolescence: Publishing, Technology, and the Future of the Academy",Kathleen Fitzpatrick,0814727883,,4,5,0,5,0.552438151498875
Book Was There: Reading in Electronic Times,Andrew Piper,0226669785,,4,2,0,2,0.25186633799491914
Digital Memory and the Archive (Electronic Mediations),Wolfgang Ernst,0816677670,,1,2,0,2,0.1935103885899681
What is Media Archaeology,Jussi Parikka,0745650260,,4,1,0,1,0.14480920466645145
Mechanisms: New Media and the Forensic Imagination,Matthew G. Kirschenbaum,026251740X,,4,2,0,2,0.21021039903891148
Atlas of the European Novel 1800-1900,Franco Moretti,1859842240,,4,1,0,1,0.10315326571044385
The World Republic of Letters (Convergences: Inventories of the Present),Pascale Casanova,0674010213,,4,1,0,1,0.10315326571044385
The Journey to the Western Islands Scotland and The Journal of a Tour to the Hebrides (Penguin English Library),"Samuel Johnson, James Boswell",0140432213,,4,1,0,1,0.10315326571044385
"Digital Art and Meaning: Reading Kinetic Poetry, Text Machines, Mapping Art, and Interactive Installations (Electronic Mediations)",Roberto Simanowski,0816667381,false,4,3,10,13,0.09574572152277555
"Form+Code in Design, Art, and Architecture (Design Briefs)","Casey Reas, Chandler McWilliams",1568989377,,10,4,0,4,0.11770180100828813
"Telesthesia: Communication, Culture & Class",McKenzie Wark,0745653995,,1,1,0,1,0.04870118392351661
"MP3: The Meaning of a Format (Sign, Storage, Transmission)",Jonathan Sterne,0822352877,,1,1,0,1,0.04870118392351661
Gilbert Simondon and the Philosophy of the Transindividual (Technologies of Lived Abstraction),Muriel Combes,0262018187,,1,1,0,1,0.04870118392351661
